"TOA5","Station","CR1000","12345","CR1000.Std.25","CPU:Gibberish.CR1","54321","Daily"
"TIMESTAMP","RECORD","Batt_Min","Rain_Tot","AirT_Max","AirT_TMx","AirT_Min","AirT_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn","BaromPres_Max","BaromPres_TMx","BaromPres_Min","BaromPres_TMn","SlrkW_Max","SlrkW_TMx","SlrMJ_Max","SlrMJ_TMx","WaterT_Max","WaterT_TMx","WaterLvl_Min","WaterLvl_TMn"
"TS","RN","Volts","mm","Deg C","Deg C","Deg C","Deg C","%","%","%","%","mmHg","mmHg","mmHg","mmHg","kW/m^2","kW/m^2","MJ/m^2","MJ/m^2","Deg C","Deg C","Ft","Ft"
"","","Min","Tot","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Max","TMx","Max","TMx","Min","TMn"
"2014-05-27 00:00:00",46,12.91,1.27,24.43,"2014-05-26 12:00:00",17.06,"2014-05-26 05:30:00",93.9,"2014-05-26 23:45:00",60.86,"2014-05-26 11:15:00",729.7,"2014-05-26 13:30:00",728.3,"2014-05-26 03:15:00",0.584,"2014-05-26 12:00:00",0.018,"2014-05-26 12:00:00",25.75,"2014-05-26 16:45:00",0.278,"2014-05-26 19:45:00"
"2014-05-28 00:00:00",47,12.89,0,29.15,"2014-05-27 16:30:00",17.03,"2014-05-27 05:30:00",98.9,"2014-05-27 06:30:00",39.41,"2014-05-27 16:30:00",731.1,"2014-05-27 23:30:00",728.5,"2014-05-27 01:30:00",1.246,"2014-05-27 13:45:00",0.037,"2014-05-27 13:45:00",32.99,"2014-05-27 15:30:00",0.261,"2014-05-27 23:15:00"
"2014-05-29 00:00:00",48,12.89,0,29.26,"2014-05-28 14:30:00",15.46,"2014-05-28 06:15:00",97,"2014-05-28 04:45:00",36.14,"2014-05-28 16:15:00",732.8,"2014-05-28 09:45:00",730.9,"2014-05-28 00:30:00",1.013,"2014-05-28 13:45:00",0.03,"2014-05-28 13:45:00",34.29,"2014-05-28 14:45:00",0.236,"2014-05-28 23:45:00"
"2014-05-30 00:00:00",49,12.86,0,31.39,"2014-05-29 15:30:00",9.85,"2014-05-29 05:45:00",88.6,"2014-05-29 06:00:00",26.54,"2014-05-29 14:30:00",733.8,"2014-05-29 09:30:00",730.8,"2014-05-29 18:45:00",0.948,"2014-05-29 13:00:00",0.028,"2014-05-29 13:00:00",32.93,"2014-05-29 14:45:00",0.205,"2014-05-29 23:00:00"
"2014-05-31 00:00:00",50,12.91,0,33.1,"2014-05-30 17:00:00",20.41,"2014-05-30 06:15:00",77.06,"2014-05-30 06:15:00",33.37,"2014-05-30 17:30:00",733.8,"2014-05-30 08:15:00",730.4,"2014-05-30 18:00:00",1.093,"2014-05-30 13:30:00",0.033,"2014-05-30 13:30:00",32.61,"2014-05-30 13:45:00",0.177,"2014-05-31 00:00:00"
"2014-06-01 00:00:00",51,12.92,11.94,29.36,"2014-05-31 12:45:00",20.17,"2014-05-31 21:45:00",97.9,"2014-05-31 21:30:00",50.42,"2014-05-31 13:00:00",732.3,"2014-05-31 07:00:00",727.3,"2014-05-31 22:30:00",1.138,"2014-05-31 12:00:00",0.034,"2014-05-31 12:00:00",31.57,"2014-05-31 12:45:00",0.176,"2014-05-31 10:45:00"
"2014-06-02 00:00:00",52,12.88,39.62,25.77,"2014-06-01 15:30:00",18.07,"2014-06-01 06:00:00",98.1,"2014-06-01 19:30:00",76.83,"2014-06-01 14:45:00",727.9,"2014-06-01 00:15:00",724,"2014-06-01 19:00:00",0.943,"2014-06-01 13:00:00",0.028,"2014-06-01 13:00:00",30.08,"2014-06-01 15:30:00",0.205,"2014-06-01 01:30:00"
"2014-06-03 00:00:00",53,12.86,0,23.59,"2014-06-02 12:15:00",14.75,"2014-06-02 23:30:00",100,"2014-06-02 04:00:00",49.33,"2014-06-02 17:00:00",730.1,"2014-06-03 00:00:00",723.2,"2014-06-02 03:30:00",1.117,"2014-06-02 13:45:00",0.034,"2014-06-02 13:45:00",27.9,"2014-06-02 13:45:00",0.305,"2014-06-02 23:15:00"
"2014-06-04 00:00:00",54,12.92,0,22.21,"2014-06-03 14:30:00",11.43,"2014-06-03 05:00:00",99,"2014-06-03 05:15:00",53.11,"2014-06-03 14:30:00",731.7,"2014-06-03 09:30:00",726.4,"2014-06-03 19:45:00",0.945,"2014-06-03 11:30:00",0.028,"2014-06-03 11:30:00",26.44,"2014-06-03 12:15:00",0.297,"2014-06-04 00:00:00"
"2014-06-05 00:00:00",55,12.88,0,27.47,"2014-06-04 17:00:00",14.01,"2014-06-04 06:00:00",98.7,"2014-06-04 06:15:00",33.21,"2014-06-04 17:30:00",728.9,"2014-06-04 12:00:00",726.2,"2014-06-04 00:30:00",1.122,"2014-06-04 14:00:00",0.034,"2014-06-04 14:00:00",33.75,"2014-06-04 16:45:00",0.277,"2014-06-04 23:30:00"
"2014-06-06 00:00:00",56,12.89,13.21,21.55,"2014-06-05 17:00:00",16.05,"2014-06-05 23:30:00",97.4,"2014-06-05 14:00:00",72.4,"2014-06-05 10:00:00",729.5,"2014-06-05 13:30:00",727.1,"2014-06-05 06:15:00",0.988,"2014-06-05 15:00:00",0.03,"2014-06-05 15:00:00",24.27,"2014-06-05 17:00:00",0.273,"2014-06-05 06:30:00"
